split_name,distance,p_value,accuracy,error_rate,ler,mwpm_ler,ler_ratio
a1_d3_00,9,0.001,0.6199,0.3801,0.3801,0.0,inf
a1_d3_00,9,0.002,0.5754,0.4246,0.4246,0.0,inf
a1_d3_00,9,0.003,0.561,0.43899999999999995,0.43899999999999995,0.0006,731.6666666666666
a1_d3_00,9,0.004,0.5415,0.4585,0.4585,0.0024,191.04166666666669
a1_d3_00,9,0.005,0.5306,0.46940000000000004,0.46940000000000004,0.0061,76.95081967213115
a1_d3_00,9,0.006,0.5162,0.4838,0.4838,0.0175,27.645714285714284
a1_d3_00,9,0.007,0.5146,0.48540000000000005,0.48540000000000005,0.028,17.33571428571429
a1_d3_00,9,0.008,0.505,0.495,0.495,0.0569,8.699472759226714
a1_d3_00,11,0.001,0.5786,0.4214,0.4214,0.0,inf
a1_d3_00,11,0.002,0.5432,0.4568,0.4568,0.0,inf
a1_d3_00,11,0.003,0.5332,0.4668,0.4668,0.0004,1167.0
a1_d3_00,11,0.004,0.5203,0.4797,0.4797,0.0012,399.75000000000006
a1_d3_00,11,0.005,0.5111,0.4889,0.4889,0.0056,87.30357142857143
a1_d3_00,11,0.006,0.5084,0.49160000000000004,0.49160000000000004,0.0104,47.269230769230774
a1_d3_00,11,0.007,0.5,0.5,0.5,0.0281,17.793594306049823
a1_d3_00,11,0.008,0.5053,0.49470000000000003,0.49470000000000003,0.0569,8.69420035149385
a1_d3_00,13,0.001,0.5641,0.43589999999999995,0.43589999999999995,0.0,inf
a1_d3_00,13,0.002,0.5372,0.4628,0.4628,0.0,inf
a1_d3_00,13,0.003,0.5244,0.4756,0.4756,0.0,inf
a1_d3_00,13,0.004,0.5164,0.48360000000000003,0.48360000000000003,0.0006,806.0000000000001
a1_d3_00,13,0.005,0.518,0.482,0.482,0.0026,185.3846153846154
a1_d3_00,13,0.006,0.5025,0.49750000000000005,0.49750000000000005,0.0093,53.49462365591399
a1_d3_00,13,0.007,0.5032,0.4968,0.4968,0.0286,17.37062937062937
a1_d3_00,13,0.008,0.4937,0.5063,0.5063,0.0553,9.155515370705244
a2_d3_10,9,0.001,0.6136,0.38639999999999997,0.38639999999999997,0.0,inf
a2_d3_10,9,0.002,0.5585,0.4415,0.4415,0.0,inf
a2_d3_10,9,0.003,0.5385,0.4615,0.4615,0.0006,769.1666666666667
a2_d3_10,9,0.004,0.5251,0.4749,0.4749,0.0024,197.875
a2_d3_10,9,0.005,0.5072,0.4928,0.4928,0.0061,80.78688524590164
a2_d3_10,9,0.006,0.5093,0.4907,0.4907,0.0175,28.04
a2_d3_10,9,0.007,0.5097,0.49029999999999996,0.49029999999999996,0.028,17.510714285714283
a2_d3_10,9,0.008,0.5048,0.4952,0.4952,0.0569,8.70298769771529
a2_d3_10,11,0.001,0.5703,0.42969999999999997,0.42969999999999997,0.0,inf
a2_d3_10,11,0.002,0.5365,0.4635,0.4635,0.0,inf
a2_d3_10,11,0.003,0.513,0.487,0.487,0.0004,1217.5
a2_d3_10,11,0.004,0.5028,0.4972,0.4972,0.0012,414.33333333333337
