split_name,d9_acc,d9_ler,d11_acc,d11_ler,d13_acc,d13_ler,overall_acc
c1_only_d3,0.6103125,0.38968749999999996,0.5755625,0.4244375,0.5520625,0.4479375,0.5793125
c2_only_d5,0.58235,0.41764999999999997,0.5562374999999999,0.4437625,0.54565,0.45435,0.5614125
a3_d3_20,0.5638375,0.4361625,0.5457625,0.4542375,0.5337375,0.4662625,0.5477791666666666
b2_d5more,0.5564,0.4436,0.540875,0.459125,0.5305625,0.4694375,0.5426125
equal_333333,0.552675,0.44732500000000003,0.5414125,0.45858750000000004,0.5316125,0.4683875,0.5418999999999999
a4_d3_40,0.5531625,0.4468375,0.5407875,0.4592125,0.527275,0.472725,0.5404083333333333
a5_d3_50,0.5511874999999999,0.44881249999999995,0.533625,0.466375,0.523475,0.476525,0.5360958333333333
a1_d3_00,0.545525,0.454475,0.5250125,0.4749875,0.5199374999999999,0.48006249999999995,0.5301583333333334
b1_d5heavy,0.5476125,0.4523875,0.5173375,0.4826625,0.509,0.491,0.52465
c3_only_d7,0.522675,0.477325,0.521625,0.478375,0.5161375,0.48386250000000003,0.5201458333333334
a2_d3_10,0.5333375,0.4666625,0.5163875,0.4836125,0.5093,0.4907,0.519675
b3_balanced,0.5195,0.48050000000000004,0.5063875,0.4936125,0.5011875,0.4988125,0.509025
b5_d7heavy,0.519425,0.48057500000000003,0.49607500000000004,0.503925,0.49275,0.50725,0.5027499999999999
b4_d7more,0.5256624999999999,0.4743375,0.492275,0.507725,0.483925,0.5160750000000001,0.5006208333333334
c4_no_d7,0.5008375,0.49916249999999995,0.4898625,0.5101375,0.4876125,0.5123875,0.4927708333333333
