split_name,distance,fitted_alpha,theoretical_alpha,alpha_diff,r_squared,log_C
a1_d3_00,9,0.12468923114394795,5.0,-4.875310768856052,0.9910224347859229,-0.09588011119531814
a1_d3_00,11,0.07929538219717318,6.0,-5.920704617802826,0.9660998892227912,-0.30320507246793194
a1_d3_00,13,0.06721815960197902,7.0,-6.932781840398021,0.972996455270195,-0.3596064536564558
a2_d3_10,9,0.11639130969191953,5.0,-4.883608690308081,0.9289577634551531,-0.11546892795390361
a2_d3_10,11,0.07083858910494314,6.0,-5.929161410895057,0.870744596771786,-0.33225328630031614
a2_d3_10,13,0.036063283444717854,7.0,-6.963936716555282,0.8019181978246017,-0.5109556394030478
a3_d3_20,9,0.12155806642322978,5.0,-4.87844193357677,0.9747104022617952,-0.15442400579831309
a3_d3_20,11,0.1265884724940097,6.0,-5.87341152750599,0.9393178929626196,-0.08614100804786017
a3_d3_20,13,0.13249711159545058,7.0,-6.867502888404549,0.9674646006605736,-0.027174905770217115
a4_d3_40,9,0.12513398918931323,5.0,-4.8748660108106865,0.9813018374851341,-0.11038641132180102
a4_d3_40,11,0.1220628739230525,6.0,-5.877937126076947,0.9765466079302358,-0.10009980420899718
a4_d3_40,13,0.10736690023034252,7.0,-6.892633099769657,0.948257843786509,-0.15245530388414824
a5_d3_50,9,0.1451150721941612,5.0,-4.854884927805839,0.9749439210854077,0.004410307086042499
a5_d3_50,11,0.1057624925660101,6.0,-5.89423750743399,0.9647909303880781,-0.17482005890226915
a5_d3_50,13,0.09918135911833598,7.0,-6.900818640881664,0.9257238578714917,-0.1898126653431419
b1_d5heavy,9,0.1235563833228001,5.0,-4.8764436166772,0.9587675396923766,-0.10682809092520704
b1_d5heavy,11,0.07594681991731855,6.0,-5.924053180082682,0.9094168494454294,-0.30582768562891677
b1_d5heavy,13,0.045472354082128574,7.0,-6.954527645917872,0.735871737602574,-0.4580728653963404
b2_d5more,9,0.14804785287387695,5.0,-4.851952147126123,0.9552193414854167,0.008851163453510488
b2_d5more,11,0.12749363460670027,6.0,-5.8725063653933,0.9852537452871885,-0.07021822785473725
b2_d5more,13,0.11275915181005326,7.0,-6.887240848189947,0.9707454217394125,-0.1295274947997765
b3_balanced,9,0.08924861696720583,5.0,-4.910751383032794,0.7924501945177707,-0.23681191716839187
b3_balanced,11,0.03300347459014756,6.0,-5.9669965254098525,0.5796606691266445,-0.5221732334901776
b3_balanced,13,0.006403487663104384,7.0,-6.993596512336896,0.34563355024107023,-0.6598052846012716
b4_d7more,9,0.11673354666973142,5.0,-4.883266453330268,0.9347162566708948,-0.09725195459991595
b4_d7more,11,0.025793412338081047,6.0,-5.974206587661919,0.24350020837362063,-0.5344151348888732
b4_d7more,13,-0.016692903572278536,7.0,-7.016692903572278,0.1371251117500628,-0.7551288052047737
b5_d7heavy,9,0.09044818848416451,5.0,-4.909551811515835,0.9044209672898587,-0.22976616407276823
b5_d7heavy,11,0.01150585529786881,6.0,-5.988494144702131,0.07693479684152249,-0.6214713309095918
b5_d7heavy,13,-0.012752749280340248,7.0,-7.01275274928034,0.2991120559769551,-0.7500574660803928
c1_only_d3,9,0.32360531842261114,5.0,-4.6763946815773885,0.9828826713476511,0.8421270972880095
c1_only_d3,11,0.3324378763709262,6.0,-5.667562123629073,0.9549118604281535,0.9760833317145959
c1_only_d3,13,0.26499520197326804,7.0,-6.735004798026732,0.8847000957498482,0.6606830742169225
c2_only_d5,9,0.13938982984544523,5.0,-4.860610170154555,0.7860120172883643,-0.10036880632523724
c2_only_d5,11,0.16960337569747266,6.0,-5.830396624302527,0.9446062792424427,0.12783502375427777
c2_only_d5,13,0.20198243170242672,7.0,-6.798017568297573,0.939987788139061,0.329797913543291
c3_only_d7,9,0.08662966459529299,5.0,-4.913370335404707,0.8787734461559296,-0.25776591624433665
c3_only_d7,11,0.05057769825578424,6.0,-5.949422301744216,0.9413175567438006,-0.45560964059392745
c3_only_d7,13,0.04769048203838141,7.0,-6.952309517961619,0.8901535453054708,-0.4602877362084642
c4_no_d7,9,0.1229113562199736,5.0,-4.877088643780026,0.7145004504486265,-0.01301689168760978
c4_no_d7,11,0.0253818087442229,6.0,-5.974618191255777,0.1270102886670733,-0.5324682563965967
c4_no_d7,13,-0.025018172270452887,7.0,-7.025018172270453,0.5795364101965175,-0.8085635570617637
equal_333333,9,0.13899480382531013,5.0,-4.86100519617469,0.96650154075925,-0.032735735243213715
equal_333333,11,0.14885703626343585,6.0,-5.851142963736564,0.974023162519491,0.04661139202317073
equal_333333,13,0.11708111745017205,7.0,-6.882918882549828,0.9508002924062495,-0.10790172468542607
