split_name,d1,d2,lambda,ler_d1,ler_d2
a1_d3_00,9,11,0.9568146530171847,0.454475,0.4749875
a1_d3_00,11,13,0.989428459835959,0.4749875,0.48006249999999995
a2_d3_10,9,11,0.9649512781410736,0.4666625,0.4836125
a2_d3_10,11,13,0.9855563480741797,0.4836125,0.4907
a3_d3_20,9,11,0.960208040947742,0.4361625,0.4542375
a3_d3_20,11,13,0.9742098067075949,0.4542375,0.4662625
a4_d3_40,9,11,0.9730516917549065,0.4468375,0.4592125
a4_d3_40,11,13,0.9714157279602306,0.4592125,0.472725
a5_d3_50,9,11,0.9623425355132671,0.44881249999999995,0.466375
a5_d3_50,11,13,0.9786999632757988,0.466375,0.476525
b1_d5heavy,9,11,0.9372750110066558,0.4523875,0.4826625
b1_d5heavy,11,13,0.9830193482688391,0.4826625,0.491
b2_d5more,9,11,0.9661856792812414,0.4436,0.459125
b2_d5more,11,13,0.9780322194115297,0.459125,0.4694375
b3_balanced,9,11,0.973435640304895,0.48050000000000004,0.4936125
b3_balanced,11,13,0.9895752411978449,0.4936125,0.4988125
b4_d7more,9,11,0.9342409769067902,0.4743375,0.507725
b4_d7more,11,13,0.9838201811752166,0.507725,0.5160750000000001
b5_d7heavy,9,11,0.9536637396437964,0.48057500000000003,0.503925
b5_d7heavy,11,13,0.9934450468210941,0.503925,0.50725
c1_only_d3,9,11,0.9181269327050506,0.38968749999999996,0.4244375
c1_only_d3,11,13,0.9475373238454026,0.4244375,0.4479375
c2_only_d5,9,11,0.9411565871383903,0.41764999999999997,0.4437625
c2_only_d5,11,13,0.9766974799163641,0.4437625,0.45435
c3_only_d7,9,11,0.9978050692448394,0.477325,0.478375
c3_only_d7,11,13,0.9886589681986101,0.478375,0.48386250000000003
c4_no_d7,9,11,0.9784861924481143,0.49916249999999995,0.5101375
c4_no_d7,11,13,0.9956087921738919,0.5101375,0.5123875
equal_333333,9,11,0.9754408918690545,0.44732500000000003,0.45858750000000004
equal_333333,11,13,0.9790771529983188,0.45858750000000004,0.4683875
