split_name,distance,p_value,accuracy,error_rate
baseline_33_33_33,9,0.001,0.9876,0.012399999999999967
baseline_33_33_33,9,0.002,0.9405,0.0595
baseline_33_33_33,9,0.003,0.8683,0.13170000000000004
baseline_33_33_33,9,0.004,0.7931,0.20689999999999997
baseline_33_33_33,9,0.005,0.7274,0.27259999999999995
baseline_33_33_33,9,0.006,0.661,0.33899999999999997
baseline_33_33_33,9,0.007,0.6137,0.3863
baseline_33_33_33,9,0.008,0.5714,0.4286
baseline_33_33_33,11,0.001,0.963,0.03700000000000003
baseline_33_33_33,11,0.002,0.8629,0.1371
baseline_33_33_33,11,0.003,0.745,0.255
baseline_33_33_33,11,0.004,0.6457,0.35429999999999995
baseline_33_33_33,11,0.005,0.5834,0.41659999999999997
baseline_33_33_33,11,0.006,0.542,0.45799999999999996
baseline_33_33_33,11,0.007,0.5259,0.47409999999999997
baseline_33_33_33,11,0.008,0.5136,0.48640000000000005
baseline_33_33_33,13,0.001,0.9156,0.08440000000000003
baseline_33_33_33,13,0.002,0.7524,0.24760000000000004
baseline_33_33_33,13,0.003,0.6171,0.3829
baseline_33_33_33,13,0.004,0.5483,0.4517
baseline_33_33_33,13,0.005,0.5203,0.4797
baseline_33_33_33,13,0.006,0.5123,0.4877
baseline_33_33_33,13,0.007,0.4983,0.5017
baseline_33_33_33,13,0.008,0.5033,0.49670000000000003
no_d3_30_70,9,0.001,0.9893,0.010700000000000043
no_d3_30_70,9,0.002,0.9547,0.04530000000000001
no_d3_30_70,9,0.003,0.8984,0.10160000000000002
no_d3_30_70,9,0.004,0.8234,0.17659999999999998
no_d3_30_70,9,0.005,0.7456,0.25439999999999996
no_d3_30_70,9,0.006,0.6768,0.32320000000000004
no_d3_30_70,9,0.007,0.6291,0.3709
no_d3_30_70,9,0.008,0.5854,0.41459999999999997
no_d3_30_70,11,0.001,0.9736,0.02639999999999998
no_d3_30_70,11,0.002,0.8917,0.10829999999999995
no_d3_30_70,11,0.003,0.771,0.22899999999999998
no_d3_30_70,11,0.004,0.664,0.33599999999999997
no_d3_30_70,11,0.005,0.5912,0.40880000000000005
no_d3_30_70,11,0.006,0.5636,0.4364
no_d3_30_70,11,0.007,0.5344,0.4656
no_d3_30_70,11,0.008,0.5142,0.4858
no_d3_30_70,13,0.001,0.938,0.062000000000000055
no_d3_30_70,13,0.002,0.7775,0.22250000000000003
no_d3_30_70,13,0.003,0.6368,0.36319999999999997
no_d3_30_70,13,0.004,0.5567,0.4433
no_d3_30_70,13,0.005,0.5226,0.47740000000000005
no_d3_30_70,13,0.006,0.5172,0.4828
no_d3_30_70,13,0.007,0.4926,0.5074000000000001
no_d3_30_70,13,0.008,0.4987,0.5013000000000001
no_d3_50_50,9,0.001,0.9863,0.013700000000000045
no_d3_50_50,9,0.002,0.9453,0.05469999999999997
no_d3_50_50,9,0.003,0.887,0.11299999999999999
no_d3_50_50,9,0.004,0.8035,0.1965
no_d3_50_50,9,0.005,0.7354,0.26459999999999995
no_d3_50_50,9,0.006,0.6728,0.32720000000000005
