split_name,distance,p_value,accuracy,error_rate,ler,mwpm_ler,ler_ratio
a1_d3_00,9,0.001,0.9932,0.006800000000000028,0.006800000000000028,0.0,inf
a1_d3_00,9,0.002,0.9609,0.039100000000000024,0.039100000000000024,0.0,inf
a1_d3_00,9,0.003,0.8973,0.10270000000000001,0.10270000000000001,0.0011,93.36363636363637
a1_d3_00,9,0.004,0.8203,0.17969999999999997,0.17969999999999997,0.0028,64.17857142857142
a1_d3_00,9,0.005,0.7423,0.25770000000000004,0.25770000000000004,0.0062,41.56451612903226
a1_d3_00,9,0.006,0.6777,0.32230000000000003,0.32230000000000003,0.0158,20.39873417721519
a1_d3_00,9,0.007,0.6288,0.3712,0.3712,0.0267,13.90262172284644
a1_d3_00,9,0.008,0.585,0.41500000000000004,0.41500000000000004,0.0546,7.600732600732601
a1_d3_00,11,0.001,0.9611,0.038900000000000046,0.038900000000000046,0.0,inf
a1_d3_00,11,0.002,0.8287,0.1713,0.1713,0.0,inf
a1_d3_00,11,0.003,0.7176,0.2824,0.2824,0.0001,2823.9999999999995
a1_d3_00,11,0.004,0.6348,0.36519999999999997,0.36519999999999997,0.0008,456.49999999999994
a1_d3_00,11,0.005,0.5824,0.41759999999999997,0.41759999999999997,0.0044,94.90909090909089
a1_d3_00,11,0.006,0.547,0.45299999999999996,0.45299999999999996,0.0125,36.239999999999995
a1_d3_00,11,0.007,0.53,0.47,0.47,0.0267,17.602996254681646
a1_d3_00,11,0.008,0.5208,0.47919999999999996,0.47919999999999996,0.0517,9.268858800773693
a1_d3_00,13,0.001,0.8752,0.12480000000000002,0.12480000000000002,0.0,inf
a1_d3_00,13,0.002,0.6371,0.3629,0.3629,0.0001,3629.0
a1_d3_00,13,0.003,0.5523,0.4477,0.4477,0.0001,4477.0
a1_d3_00,13,0.004,0.538,0.46199999999999997,0.46199999999999997,0.0001,4619.999999999999
a1_d3_00,13,0.005,0.5141,0.4859,0.4859,0.0023,211.2608695652174
a1_d3_00,13,0.006,0.4978,0.5022,0.5022,0.0085,59.08235294117647
a1_d3_00,13,0.007,0.5113,0.4887,0.4887,0.0273,17.9010989010989
a1_d3_00,13,0.008,0.5049,0.4951,0.4951,0.0579,8.550949913644214
a2_d3_10,9,0.001,0.994,0.006000000000000005,0.006000000000000005,0.0,inf
a2_d3_10,9,0.002,0.9643,0.035699999999999954,0.035699999999999954,0.0,inf
a2_d3_10,9,0.003,0.9023,0.09770000000000001,0.09770000000000001,0.0011,88.81818181818183
a2_d3_10,9,0.004,0.8269,0.17310000000000003,0.17310000000000003,0.0028,61.821428571428584
a2_d3_10,9,0.005,0.747,0.253,0.253,0.0062,40.806451612903224
a2_d3_10,9,0.006,0.6761,0.32389999999999997,0.32389999999999997,0.0158,20.499999999999996
a2_d3_10,9,0.007,0.6315,0.36850000000000005,0.36850000000000005,0.0267,13.801498127340825
a2_d3_10,9,0.008,0.5805,0.4195,0.4195,0.0546,7.6831501831501825
a2_d3_10,11,0.001,0.9655,0.034499999999999975,0.034499999999999975,0.0,inf
a2_d3_10,11,0.002,0.8371,0.16290000000000004,0.16290000000000004,0.0,inf
a2_d3_10,11,0.003,0.7106,0.2894,0.2894,0.0001,2893.9999999999995
a2_d3_10,11,0.004,0.6292,0.3708,0.3708,0.0008,463.5
a2_d3_10,11,0.005,0.5782,0.42179999999999995,0.42179999999999995,0.0044,95.86363636363635
a2_d3_10,11,0.006,0.5432,0.4568,0.4568,0.0125,36.544
a2_d3_10,11,0.007,0.5219,0.47809999999999997,0.47809999999999997,0.0267,17.9063670411985
a2_d3_10,11,0.008,0.5101,0.4899,0.4899,0.0517,9.475822050290136
a2_d3_10,13,0.001,0.8727,0.12729999999999997,0.12729999999999997,0.0,inf
a2_d3_10,13,0.002,0.6252,0.3748,0.3748,0.0001,3748.0
a2_d3_10,13,0.003,0.551,0.44899999999999995,0.44899999999999995,0.0001,4489.999999999999
a2_d3_10,13,0.004,0.5316,0.46840000000000004,0.46840000000000004,0.0001,4684.0
a2_d3_10,13,0.005,0.5147,0.48529999999999995,0.48529999999999995,0.0023,210.99999999999997
a2_d3_10,13,0.006,0.5008,0.4992,0.4992,0.0085,58.72941176470587
a2_d3_10,13,0.007,0.5073,0.4927,0.4927,0.0273,18.047619047619047
a2_d3_10,13,0.008,0.499,0.501,0.501,0.0579,8.652849740932643
