split_name,distance,p_value,accuracy,error_rate,ler,mwpm_ler,ler_ratio
a1_d3_00,9,0.001,0.9926,0.0073999999999999,0.0073999999999999,0.0,inf
a1_d3_00,9,0.002,0.957,0.043,0.043,0.0001,429.99999999999994
a1_d3_00,9,0.003,0.8988,0.1011999999999999,0.1011999999999999,0.0003,337.33333333333303
a1_d3_00,9,0.004,0.8216,0.1784,0.1784,0.0025,71.36
a1_d3_00,9,0.005,0.7338,0.2662,0.2662,0.0065,40.95384615384616
a1_d3_00,9,0.006,0.6784,0.3216,0.3216,0.0162,19.85185185185185
a1_d3_00,9,0.007,0.631,0.369,0.369,0.0335,11.014925373134327
a1_d3_00,9,0.008,0.5975,0.4024999999999999,0.4024999999999999,0.054,7.453703703703702
a1_d3_00,11,0.001,0.9624,0.0375999999999999,0.0375999999999999,0.0,inf
a1_d3_00,11,0.002,0.8316,0.1684,0.1684,0.0,inf
a1_d3_00,11,0.003,0.715,0.285,0.285,0.0003,950.0
a1_d3_00,11,0.004,0.6338,0.3661999999999999,0.3661999999999999,0.0016,228.87499999999994
a1_d3_00,11,0.005,0.5781,0.4219,0.4219,0.0041,102.90243902439023
a1_d3_00,11,0.006,0.5599,0.4401,0.4401,0.0102,43.147058823529406
a1_d3_00,11,0.007,0.533,0.4669999999999999,0.4669999999999999,0.0277,16.859205776173283
a1_d3_00,11,0.008,0.5111,0.4889,0.4889,0.0545,8.970642201834863
a1_d3_00,13,0.001,0.8742,0.1258,0.1258,0.0,inf
a1_d3_00,13,0.002,0.6436,0.3564,0.3564,0.0,inf
a1_d3_00,13,0.003,0.5576,0.4424,0.4424,0.0,inf
a1_d3_00,13,0.004,0.521,0.479,0.479,0.0004,1197.5
a1_d3_00,13,0.005,0.5083,0.4917,0.4917,0.0032,153.65625
a1_d3_00,13,0.006,0.5094,0.4906,0.4906,0.0108,45.425925925925924
a1_d3_00,13,0.007,0.4969,0.5031,0.5031,0.0272,18.496323529411764
a1_d3_00,13,0.008,0.5072,0.4928,0.4928,0.0543,9.075506445672191
a2_d3_10,9,0.001,0.9938,0.0061999999999999,0.0061999999999999,0.0,inf
a2_d3_10,9,0.002,0.9613,0.0386999999999999,0.0386999999999999,0.0001,386.999999999999
a2_d3_10,9,0.003,0.9051,0.0948999999999999,0.0948999999999999,0.0003,316.33333333333303
a2_d3_10,9,0.004,0.8283,0.1716999999999999,0.1716999999999999,0.0025,68.67999999999996
a2_d3_10,9,0.005,0.7415,0.2584999999999999,0.2584999999999999,0.0065,39.76923076923075
a2_d3_10,9,0.006,0.687,0.3129999999999999,0.3129999999999999,0.0162,19.32098765432098
a2_d3_10,9,0.007,0.6301,0.3699,0.3699,0.0335,11.041791044776119
a2_d3_10,9,0.008,0.5978,0.4022,0.4022,0.054,7.448148148148149
a2_d3_10,11,0.001,0.9689,0.0311,0.0311,0.0,inf
a2_d3_10,11,0.002,0.8391,0.1609,0.1609,0.0,inf
a2_d3_10,11,0.003,0.7145,0.2855,0.2855,0.0003,951.6666666666666
a2_d3_10,11,0.004,0.6264,0.3736,0.3736,0.0016,233.49999999999997
a2_d3_10,11,0.005,0.5662,0.4337999999999999,0.4337999999999999,0.0041,105.80487804878045
a2_d3_10,11,0.006,0.552,0.4479999999999999,0.4479999999999999,0.0102,43.92156862745097
a2_d3_10,11,0.007,0.5257,0.4743,0.4743,0.0277,17.12274368231047
a2_d3_10,11,0.008,0.5079,0.4921,0.4921,0.0545,9.029357798165137
a2_d3_10,13,0.001,0.8705,0.1294999999999999,0.1294999999999999,0.0,inf
a2_d3_10,13,0.002,0.6368,0.3631999999999999,0.3631999999999999,0.0,inf
a2_d3_10,13,0.003,0.5526,0.4474,0.4474,0.0,inf
a2_d3_10,13,0.004,0.5247,0.4752999999999999,0.4752999999999999,0.0004,1188.2499999999998
a2_d3_10,13,0.005,0.5083,0.4917,0.4917,0.0032,153.65625
a2_d3_10,13,0.006,0.5053,0.4947,0.4947,0.0108,45.80555555555555
a2_d3_10,13,0.007,0.4955,0.5045,0.5045,0.0272,18.547794117647058
a2_d3_10,13,0.008,0.5021,0.4979,0.4979,0.0543,9.169429097605892
a3_d3_20,9,0.001,0.9949,0.0050999999999999,0.0050999999999999,0.0,inf
a3_d3_20,9,0.002,0.9632,0.0368,0.0368,0.0001,368.0
a3_d3_20,9,0.003,0.9054,0.0946,0.0946,0.0003,315.33333333333337
a3_d3_20,9,0.004,0.8328,0.1672,0.1672,0.0025,66.88
a3_d3_20,9,0.005,0.7446,0.2553999999999999,0.2553999999999999,0.0065,39.29230769230768
a3_d3_20,9,0.006,0.6851,0.3148999999999999,0.3148999999999999,0.0162,19.438271604938265
a3_d3_20,9,0.007,0.6341,0.3659,0.3659,0.0335,10.922388059701492
a3_d3_20,9,0.008,0.598,0.402,0.402,0.054,7.444444444444445
a3_d3_20,11,0.001,0.9719,0.0281,0.0281,0.0,inf
a3_d3_20,11,0.002,0.8435,0.1564999999999999,0.1564999999999999,0.0,inf
a3_d3_20,11,0.003,0.7221,0.2779,0.2779,0.0003,926.3333333333334
a3_d3_20,11,0.004,0.6365,0.3635,0.3635,0.0016,227.18749999999997
a3_d3_20,11,0.005,0.5775,0.4225,0.4225,0.0041,103.04878048780486
a3_d3_20,11,0.006,0.5548,0.4452,0.4452,0.0102,43.647058823529406
a3_d3_20,11,0.007,0.5297,0.4703,0.4703,0.0277,16.978339350180505
a3_d3_20,11,0.008,0.5099,0.4901,0.4901,0.0545,8.992660550458716
a3_d3_20,13,0.001,0.8782,0.1218,0.1218,0.0,inf
a3_d3_20,13,0.002,0.6403,0.3597,0.3597,0.0,inf
a3_d3_20,13,0.003,0.5553,0.4447,0.4447,0.0,inf
a3_d3_20,13,0.004,0.5247,0.4752999999999999,0.4752999999999999,0.0004,1188.2499999999998
a3_d3_20,13,0.005,0.5119,0.4881,0.4881,0.0032,152.53125
a3_d3_20,13,0.006,0.5118,0.4881999999999999,0.4881999999999999,0.0108,45.203703703703695
a3_d3_20,13,0.007,0.5002,0.4998,0.4998,0.0272,18.375000000000004
a3_d3_20,13,0.008,0.5032,0.4968,0.4968,0.0543,9.149171270718233
a4_d3_40,9,0.001,0.994,0.006,0.006,0.0,inf
a4_d3_40,9,0.002,0.9623,0.0376999999999999,0.0376999999999999,0.0001,376.999999999999
a4_d3_40,9,0.003,0.9033,0.0967,0.0967,0.0003,322.3333333333333
a4_d3_40,9,0.004,0.8282,0.1717999999999999,0.1717999999999999,0.0025,68.71999999999996
a4_d3_40,9,0.005,0.7428,0.2572,0.2572,0.0065,39.56923076923077
a4_d3_40,9,0.006,0.685,0.3149999999999999,0.3149999999999999,0.0162,19.44444444444444
a4_d3_40,9,0.007,0.6334,0.3666,0.3666,0.0335,10.94328358208955
a4_d3_40,9,0.008,0.5978,0.4022,0.4022,0.054,7.448148148148149
a4_d3_40,11,0.001,0.9726,0.0273999999999999,0.0273999999999999,0.0,inf
a4_d3_40,11,0.002,0.8575,0.1424999999999999,0.1424999999999999,0.0,inf
a4_d3_40,11,0.003,0.7429,0.2571,0.2571,0.0003,857.0000000000001
a4_d3_40,11,0.004,0.6582,0.3418,0.3418,0.0016,213.62499999999997
a4_d3_40,11,0.005,0.593,0.407,0.407,0.0041,99.26829268292681
a4_d3_40,11,0.006,0.561,0.4389999999999999,0.4389999999999999,0.0102,43.039215686274495
a4_d3_40,11,0.007,0.5266,0.4734,0.4734,0.0277,17.09025270758123
a4_d3_40,11,0.008,0.5084,0.4916,0.4916,0.0545,9.020183486238532
a4_d3_40,13,0.001,0.9061,0.0938999999999999,0.0938999999999999,0.0,inf
a4_d3_40,13,0.002,0.6926,0.3074,0.3074,0.0,inf
a4_d3_40,13,0.003,0.5797,0.4203,0.4203,0.0,inf
a4_d3_40,13,0.004,0.5331,0.4669,0.4669,0.0004,1167.25
a4_d3_40,13,0.005,0.5158,0.4841999999999999,0.4841999999999999,0.0032,151.31249999999997
a4_d3_40,13,0.006,0.5068,0.4931999999999999,0.4931999999999999,0.0108,45.66666666666666
a4_d3_40,13,0.007,0.5022,0.4978,0.4978,0.0272,18.301470588235297
a4_d3_40,13,0.008,0.5006,0.4993999999999999,0.4993999999999999,0.0543,9.197053406998156
a5_d3_50,9,0.001,0.994,0.006,0.006,0.0,inf
a5_d3_50,9,0.002,0.9656,0.0343999999999999,0.0343999999999999,0.0001,343.99999999999903
a5_d3_50,9,0.003,0.9066,0.0934,0.0934,0.0003,311.33333333333337
a5_d3_50,9,0.004,0.8351,0.1649,0.1649,0.0025,65.96
a5_d3_50,9,0.005,0.7424,0.2576,0.2576,0.0065,39.63076923076923
a5_d3_50,9,0.006,0.684,0.3159999999999999,0.3159999999999999,0.0162,19.506172839506167
a5_d3_50,9,0.007,0.6335,0.3665,0.3665,0.0335,10.940298507462686
a5_d3_50,9,0.008,0.5948,0.4052,0.4052,0.054,7.503703703703704
a5_d3_50,11,0.001,0.9767,0.0232999999999999,0.0232999999999999,0.0,inf
a5_d3_50,11,0.002,0.8628,0.1372,0.1372,0.0,inf
a5_d3_50,11,0.003,0.7483,0.2517,0.2517,0.0003,839.0
a5_d3_50,11,0.004,0.6694,0.3306,0.3306,0.0016,206.625
a5_d3_50,11,0.005,0.6007,0.3993,0.3993,0.0041,97.39024390243901
a5_d3_50,11,0.006,0.5748,0.4252,0.4252,0.0102,41.68627450980392
a5_d3_50,11,0.007,0.5372,0.4628,0.4628,0.0277,16.707581227436823
a5_d3_50,11,0.008,0.5129,0.4871,0.4871,0.0545,8.937614678899083
a5_d3_50,13,0.001,0.9165,0.0835,0.0835,0.0,inf
a5_d3_50,13,0.002,0.7416,0.2583999999999999,0.2583999999999999,0.0,inf
a5_d3_50,13,0.003,0.6128,0.3872,0.3872,0.0,inf
a5_d3_50,13,0.004,0.5451,0.4548999999999999,0.4548999999999999,0.0004,1137.2499999999998
a5_d3_50,13,0.005,0.5216,0.4784,0.4784,0.0032,149.5
a5_d3_50,13,0.006,0.5128,0.4871999999999999,0.4871999999999999,0.0108,45.1111111111111
a5_d3_50,13,0.007,0.5047,0.4952999999999999,0.4952999999999999,0.0272,18.20955882352941
a5_d3_50,13,0.008,0.5041,0.4959,0.4959,0.0543,9.132596685082873
b1_d5heavy,9,0.001,0.9939,0.0060999999999999,0.0060999999999999,0.0,inf
b1_d5heavy,9,0.002,0.9684,0.0315999999999999,0.0315999999999999,0.0001,315.999999999999
b1_d5heavy,9,0.003,0.9144,0.0856,0.0856,0.0003,285.33333333333337
b1_d5heavy,9,0.004,0.8489,0.1511,0.1511,0.0025,60.440000000000005
