split_name,d=9,d=11,d=13
a1_d3_00,80.43,70.24000000000001,63.57375
a2_d3_10,79.15625,68.53875000000001,61.39
a3_d3_20,80.25625000000001,70.46124999999999,64.3375
a4_d3_40,79.50125,69.62125,63.066250000000004
a5_d3_50,79.545,69.15375,61.84499999999999
b1_d5heavy,79.20125,69.41,62.845
b2_d5more,80.12,70.38125,63.99875
b3_balanced,80.06625000000001,69.59875,62.37625
b4_d7more,81.01125,70.47875,63.3325
b5_d7heavy,81.4025,70.1925,62.85375
c1_only_d3,63.25999999999999,58.25625,54.95375
c2_only_d5,71.475,62.629999999999995,57.47624999999999
c3_only_d7,81.05624999999999,70.1275,63.48875
c4_no_d7,71.565,62.87875,57.061249999999994
equal_333333,79.23,68.62625,61.568749999999994
