config_id,val_accuracy,test_accuracy,training_time_sec,final_loss,model_path,status,timestamp,hp_id,hp_num_layers,hp_hidden_dim,hp_learning_rate,hp_dropout,hp_aggr
13,0.93904,0.93884,29304.967938661575,0.12678651465654373,models/config_13.pt,completed,2026-02-02T13:37:58.014356,13,5,256,0.0003,0.1,max
1,0.93425,0.93429,3302.240762233734,0.13271478512406348,models/config_1.pt,completed,2026-02-01T18:09:47.133859,1,3,64,0.003,0.0,max
3,0.92852,0.92818,16863.07201385498,0.1488209958052635,models/config_3.pt,completed,2026-02-01T22:48:03.318917,3,4,256,0.0003,0.1,max
10,0.9266,0.92579,20649.131719350815,0.14439105036258698,models/config_10.pt,completed,2026-02-02T06:05:09.908516,10,5,256,0.0001,0.1,max
19,0.92593,0.9253,19075.69336795807,0.1856032973098755,models/config_19.pt,completed,2026-02-02T14:35:47.513479,19,5,256,0.001,0.3,mean
23,0.91787,0.91855,23490.04890346527,0.06599823176026344,models/config_23.pt,completed,2026-02-02T14:25:23.679990,23,5,512,0.0001,0.0,mean
17,0.90828,0.91014,5787.679637908936,0.10917680300354958,models/config_17.pt,completed,2026-02-02T10:50:21.897394,17,4,256,0.0003,0.0,mean
9,0.90805,0.90852,29679.82282757759,0.19118354192256928,models/config_9.pt,completed,2026-02-02T05:29:21.136106,9,3,512,0.001,0.2,mean
7,0.90573,0.90478,21997.559881687164,0.1536822588992119,models/config_7.pt,completed,2026-02-02T00:56:36.737117,7,5,256,0.0003,0.2,max
11,0.905,0.90472,23620.98247361183,0.21149319091320037,models/config_11.pt,completed,2026-02-02T07:30:30.536644,11,3,512,0.001,0.3,mean
4,0.90346,0.90351,2388.6034643650055,0.1966288440799713,models/config_4.pt,completed,2026-02-01T18:49:46.387178,4,2,64,0.001,0.0,max
15,0.89707,0.89614,9067.967119693756,0.21092821428775788,models/config_15.pt,completed,2026-02-02T06:25:29.169477,15,2,256,0.001,0.1,max
12,0.89349,0.89341,10066.999531269073,0.19706289273262023,models/config_12.pt,completed,2026-02-02T03:54:07.078784,12,4,128,0.0003,0.2,max
6,0.89186,0.89066,8891.223172903061,0.19989288552761078,models/config_6.pt,completed,2026-02-01T21:14:29.374626,6,5,64,0.003,0.2,max
5,0.8903,0.88958,15453.491574764252,0.24310104566574098,models/config_5.pt,completed,2026-02-01T22:23:49.576405,5,4,256,0.0001,0.3,mean
24,0.88779,0.88814,1974.703360080719,0.22023526456832887,models/config_24.pt,completed,2026-02-02T14:06:38.536891,24,2,64,0.003,0.0,mean
16,0.88763,0.88806,3520.490613222122,0.20953393582344054,models/config_16.pt,completed,2026-02-02T09:17:39.028106,16,2,256,0.001,0.0,mean
8,0.88369,0.88293,9724.937654733658,0.24320746901988982,models/config_8.pt,completed,2026-02-02T01:06:07.309486,8,3,256,0.0001,0.1,mean
21,0.87884,0.8792,3279.6386547088623,0.2359365934753418,models/config_21.pt,completed,2026-02-02T07:53:40.786478,21,3,128,0.0001,0.0,mean
18,0.87538,0.87652,1986.3601784706116,0.2434354205083847,models/config_18.pt,completed,2026-02-02T06:58:48.323043,18,2,64,0.001,0.0,mean
2,0.87461,0.87435,5355.672784805298,0.2726609253978729,models/config_2.pt,completed,2026-02-01T18:46:08.357308,2,2,128,0.003,0.3,mean
22,0.87451,0.87299,3512.56108045578,0.26678442130565644,models/config_22.pt,completed,2026-02-02T13:33:31.213076,22,2,64,0.001,0.2,max
20,0.8703,0.86938,6251.145345926285,0.2763150318098068,models/config_20.pt,completed,2026-02-02T12:34:45.861590,20,3,128,0.0001,0.2,mean
14,0.86907,0.86812,6177.711901426315,0.24270764175891876,models/config_14.pt,completed,2026-02-02T09:13:41.400310,14,4,64,0.0001,0.2,max
0,0.86255,0.86078,3131.6026678085327,0.2818027942085266,models/config_0.pt,completed,2026-02-01T18:06:49.092743,0,2,64,0.0005,0.1,mean
