distance,p,accuracy,error_rate,n_samples,mwpm_ler,mwpm_accuracy,improvement_over_mwpm
3,0.001,0.9989,0.0010999999999999899,10000,0.0013,0.9987,0.02002603384399499
3,0.002,0.9973,0.0027000000000000357,10000,0.0032,0.9968,0.05016051364365419
3,0.003,0.9932,0.006800000000000028,10000,0.0049,0.9951,-0.19093558436338184
3,0.004,0.9895,0.010499999999999954,10000,0.0126,0.9874,0.21267976503949673
3,0.005,0.9818,0.018199999999999994,10000,0.0189,0.9811,0.07134848639282784
3,0.006,0.9771,0.02290000000000003,10000,0.0221,0.9779,-0.0818079558237062
3,0.007,0.9699,0.030100000000000016,10000,0.0324,0.9676,0.23770152955766521
3,0.008,0.9592,0.04079999999999995,10000,0.0403,0.9597,-0.05209961446284724
5,0.001,0.9996,0.00039999999999995595,10000,0.0002,0.9998,-0.02000400080015783
5,0.002,0.9961,0.0039000000000000146,10000,0.0005,0.9995,-0.3401700850425282
5,0.003,0.9889,0.011099999999999999,10000,0.003,0.997,-0.8124373119358071
5,0.004,0.9784,0.021599999999999953,10000,0.0079,0.9921,-1.3809091825420758
5,0.005,0.9622,0.037799999999999945,10000,0.0141,0.9859,-2.403894918348711
5,0.006,0.9426,0.05740000000000001,10000,0.0222,0.9778,-3.5999181836776444
5,0.007,0.9109,0.08909999999999996,10000,0.0356,0.9644,-5.547490667772707
5,0.008,0.8858,0.11419999999999997,10000,0.0529,0.9471,-6.47238939921867
7,0.001,0.9948,0.005199999999999982,10000,0.0,1.0,-0.5199999999999982
7,0.002,0.972,0.028000000000000025,10000,0.0003,0.9997,-2.770831249374818
7,0.003,0.9363,0.06369999999999998,10000,0.0009,0.9991,-6.285657091382241
7,0.004,0.8853,0.11470000000000002,10000,0.0042,0.9958,-11.09660574412533
7,0.005,0.8341,0.16590000000000005,10000,0.0099,0.9901,-15.755984244015758
7,0.006,0.7813,0.2187,10000,0.0186,0.9814,-20.38923986142246
7,0.007,0.7212,0.27880000000000005,10000,0.0315,0.9685,-25.534331440371716
7,0.008,0.6833,0.3167,10000,0.0534,0.9466,-27.81533910838791
9,0.001,0.8421,0.15790000000000004,10000,0.0,1.0,-15.790000000000004
9,0.002,0.7283,0.27170000000000005,10000,0.0,1.0,-27.170000000000005
9,0.003,0.6583,0.3417,10000,0.0006,0.9994,-34.130478286972185
9,0.004,0.603,0.397,10000,0.0023,0.9977,-39.560990277638574
9,0.005,0.5727,0.4273,10000,0.0072,0.9928,-42.314665592264305
9,0.006,0.5526,0.4474,10000,0.015,0.985,-43.898477157360404
9,0.007,0.5302,0.4698,10000,0.0305,0.9695,-45.31201650335224
9,0.008,0.5212,0.4788,10000,0.0545,0.9455,-44.87572712850344
11,0.001,0.2173,0.7827,10000,0.0,1.0,-78.27
11,0.002,0.3383,0.6617,10000,0.0,1.0,-66.17
11,0.003,0.4124,0.5876,10000,0.0002,0.9998,-58.75175035007002
11,0.004,0.4474,0.5526,10000,0.0014,0.9986,-55.19727618666133
11,0.005,0.4772,0.5227999999999999,10000,0.0049,0.9951,-52.04502060094464
11,0.006,0.4759,0.5241,10000,0.0127,0.9873,-51.79783247239948
11,0.007,0.4828,0.5172,10000,0.029,0.971,-50.27806385169927
11,0.008,0.5036,0.49639999999999995,10000,0.0536,0.9464,-46.78782755705832
