distance,model,latency_us,throughput_samples_per_sec,batch_size
3,DeepSets,21.2014635403951,47374.347602792725,64
3,GNN,58.272819916407265,17211.538514248863,64
3,MWPM,0.1171541213989258,8535764.581383044,N/A
5,DeepSets,21.107607285181682,47691.37235451632,64
5,GNN,58.837381998697914,17029.893767655674,64
5,MWPM,0.9821081161499022,1018217.8352422523,N/A
7,DeepSets,20.910584529240925,48078.49469358876,64
7,GNN,58.93791158994039,17003.882044607417,64
7,MWPM,3.4084558486938477,293387.98693349934,N/A
9,DeepSets,20.599605639775593,48647.22263085214,64
9,GNN,57.40092158317566,17468.691162573094,64
9,MWPM,8.300113677978516,120480.27759585445,N/A
11,DeepSets,21.06730063756307,47531.16159357686,64
11,GNN,58.25359026590983,17182.697885766658,64
11,MWPM,16.025495529174805,62400.56653346386,N/A
13,DeepSets,21.844596068064373,46003.55356760576,64
13,GNN,63.75768621762594,15707.564931602612,64
13,MWPM,27.957596778869632,35768.45348723967,N/A
