distance,model,accuracy,accuracy_std,f1,precision,recall
3,NN,0.9858,0.0,0.9109159347553324,0.9201520912547528,0.901863354037267
3,GNN,0.9854,0.0,0.9074778200253485,0.926261319534282,0.8894409937888199
5,NN,0.9761,0.0,0.9344307270233195,0.9440133037694013,0.9250407387289517
5,GNN,0.9685,0.0,0.9134377576257214,0.9243604004449388,0.9027702335687127
7,NN,0.8954,0.0,0.8077205882352941,0.8191648023862789,0.7965917331399565
7,GNN,0.9229,0.0,0.8567180821408659,0.8787647731605033,0.8357505438723712
9,NN,0.7562,0.0,0.5979551451187335,0.6808111152835148,0.5330785063216701
9,GNN,0.8723,0.0,0.8094314281450529,0.8218181818181818,0.7974125257277271
11,NN,0.6314,0.0,0.41640278657378094,0.577260755048288,0.3256562654779594
11,GNN,0.8151,0.0,0.7653255489275289,0.7849518354595157,0.7466567607726597
13,NN,0.5722,0.0,0.37235915492957744,0.4964788732394366,0.29788732394366196
13,GNN,0.7722,0.0,0.7269894534995206,0.7426542605288933,0.7119718309859155
