Distance,Model,Params,Accuracy (mean±std),F1 (mean±std),"Latency (μs, mean±std)",Throughput (samples/s),p-value vs SimpleNN,Effect Size
3,SimpleNN,2646529,0.9858±0.0000,0.9109±0.0000,4.13±0.23,242305,—,—
3,GraphSAGE,142593,0.9854±0.0000,0.9075±0.0000,186.91±3.79,5350,0.1250,0.000
5,SimpleNN,2695681,0.9761±0.0000,0.9344±0.0000,4.30±0.24,232447,—,—
5,GraphSAGE,142593,0.9685±0.0000,0.9134±0.0000,224.26±3.38,4459,0.1250,0.000
7,SimpleNN,2806273,0.8954±0.0000,0.8077±0.0000,4.75±0.13,210592,—,—
7,GraphSAGE,142593,0.9229±0.0000,0.8567±0.0000,237.92±3.12,4203,0.1250,0.000
9,SimpleNN,3002881,0.7562±0.0000,0.5980±0.0000,4.82±0.08,207447,—,—
9,GraphSAGE,142593,0.8723±0.0000,0.8094±0.0000,261.21±3.02,3828,0.1250,0.000
11,SimpleNN,3310081,0.6314±0.0000,0.4164±0.0000,5.09±0.15,196620,—,—
11,GraphSAGE,142593,0.8151±0.0000,0.7653±0.0000,289.77±8.80,3451,0.1250,0.000
13,SimpleNN,3752449,0.5722±0.0000,0.3724±0.0000,5.44±0.18,183968,—,—
13,GraphSAGE,142593,0.7722±0.0000,0.7270±0.0000,437.00±29.31,2288,0.1250,0.000
