decoder,d,p,num_samples,num_errors,p_L,p_L_stderr,shot_hash,timestamp
SimpleNN,3,0.001,20000,13,0.00065,0.0001802189640409,373f906a,2026-04-15T21:47:04.758966
GraphSAGE,3,0.001,20000,12,0.0006,0.000173153111436,373f906a,2026-04-15T21:47:04.758966
MWPM,3,0.001,20000,13,0.00065,0.0001802189640409,373f906a,2026-04-15T21:47:04.758966
SimpleNN,3,0.002,20000,58,0.0029,0.0003802361108574,4c58f5c2,2026-04-15T21:47:08.987405
GraphSAGE,3,0.002,20000,58,0.0029,0.0003802361108574,4c58f5c2,2026-04-15T21:47:08.987405
MWPM,3,0.002,20000,67,0.00335,0.0004085815402095,4c58f5c2,2026-04-15T21:47:08.987405
SimpleNN,3,0.003,20000,123,0.00615,0.0005528190255409,8eb4867f,2026-04-15T21:47:12.747877
GraphSAGE,3,0.003,20000,111,0.00555,0.0005253188317583,8eb4867f,2026-04-15T21:47:12.747877
MWPM,3,0.003,20000,137,0.00685,0.0005832271212829,8eb4867f,2026-04-15T21:47:12.747877
SimpleNN,3,0.004,20000,227,0.01135,0.00074903863385,ba6bd573,2026-04-15T21:47:16.734168
GraphSAGE,3,0.004,20000,216,0.0108,0.000730867977134,ba6bd573,2026-04-15T21:47:16.734168
MWPM,3,0.004,20000,237,0.01185,0.0007651659133808,ba6bd573,2026-04-15T21:47:16.734168
SimpleNN,3,0.005,20000,291,0.01455,0.0008467082584928,ba34891b,2026-04-15T21:47:21.073011
GraphSAGE,3,0.005,20000,297,0.01485,0.0008552624597163,ba34891b,2026-04-15T21:47:21.073011
MWPM,3,0.005,20000,306,0.0153,0.0008679259761062,ba34891b,2026-04-15T21:47:21.073011
SimpleNN,3,0.006,20000,431,0.02155,0.001026781318003,614353c3,2026-04-15T21:47:25.485106
GraphSAGE,3,0.006,20000,428,0.0214,0.0010232800203267,614353c3,2026-04-15T21:47:25.485106
MWPM,3,0.006,20000,482,0.0241,0.0010844166634647,614353c3,2026-04-15T21:47:25.485106
SimpleNN,3,0.007,20000,619,0.03095,0.0012245835516615,3dfa920d,2026-04-15T21:47:30.505516
GraphSAGE,3,0.007,20000,582,0.0291,0.0011885535326606,3dfa920d,2026-04-15T21:47:30.505516
MWPM,3,0.007,20000,634,0.0317,0.0012388524932371,3dfa920d,2026-04-15T21:47:30.505516
SimpleNN,3,0.008,20000,751,0.03755,0.001344246954618,e0a15fce,2026-04-15T21:47:35.386028
GraphSAGE,3,0.008,20000,695,0.03475,0.0012950374029347,e0a15fce,2026-04-15T21:47:35.386028
MWPM,3,0.008,20000,766,0.0383,0.0013570760848235,e0a15fce,2026-04-15T21:47:35.386028
SimpleNN,5,0.001,20000,11,0.00055,0.0001657856296546,46fb9dca,2026-04-15T21:47:40.830990
GraphSAGE,5,0.001,20000,5,0.00025,0.0001117894225765,46fb9dca,2026-04-15T21:47:40.830990
MWPM,5,0.001,20000,4,0.0002,9.998999949995e-05,46fb9dca,2026-04-15T21:47:40.830990
SimpleNN,5,0.002,20000,34,0.0017,0.0002912996738755,90312de3,2026-04-15T21:47:46.214281
GraphSAGE,5,0.002,20000,22,0.0011,0.0002343917660669,90312de3,2026-04-15T21:47:46.214281
MWPM,5,0.002,20000,15,0.00075,0.0001935765352515,90312de3,2026-04-15T21:47:46.214281
SimpleNN,5,0.003,20000,155,0.00775,0.0006200781200784,0c901f4b,2026-04-15T21:47:52.496246
GraphSAGE,5,0.003,20000,112,0.0056,0.0005276665613813,0c901f4b,2026-04-15T21:47:52.496246
MWPM,5,0.003,20000,66,0.0033,0.0004055311332068,0c901f4b,2026-04-15T21:47:52.496246
SimpleNN,5,0.004,20000,300,0.015,0.0008595056718835,b8e20630,2026-04-15T21:47:59.025539
GraphSAGE,5,0.004,20000,206,0.0103,0.0007139296183798,b8e20630,2026-04-15T21:47:59.025539
MWPM,5,0.004,20000,141,0.00705,0.0005916205498459,b8e20630,2026-04-15T21:47:59.025539
SimpleNN,5,0.005,20000,546,0.0273,0.0011522740559432,577689d6,2026-04-15T21:48:05.958209
GraphSAGE,5,0.005,20000,424,0.0212,0.0010185911839398,577689d6,2026-04-15T21:48:05.958209
MWPM,5,0.005,20000,266,0.0133,0.0008100342585347,577689d6,2026-04-15T21:48:05.958209
SimpleNN,5,0.006,20000,891,0.04455,0.0014588573867928,2cdf6629,2026-04-15T21:48:12.268054
GraphSAGE,5,0.006,20000,747,0.03735,0.00134080157928,2cdf6629,2026-04-15T21:48:12.268054
MWPM,5,0.006,20000,457,0.02285,0.0010565954168933,2cdf6629,2026-04-15T21:48:12.268054
SimpleNN,5,0.007,20000,1323,0.06615,0.0017574722970789,a8fe191d,2026-04-15T21:48:18.866926
GraphSAGE,5,0.007,20000,1122,0.0561,0.0016271568762722,a8fe191d,2026-04-15T21:48:18.866926
MWPM,5,0.007,20000,701,0.03505,0.0013004133477475,a8fe191d,2026-04-15T21:48:18.866926
SimpleNN,5,0.008,20000,1837,0.09185,0.0020422240021603,95a8d030,2026-04-15T21:48:25.223967
GraphSAGE,5,0.008,20000,1581,0.07905,0.0019078927839372,95a8d030,2026-04-15T21:48:25.223967
MWPM,5,0.008,20000,992,0.0496,0.001535249816805,95a8d030,2026-04-15T21:48:25.223967
SimpleNN,7,0.001,20000,74,0.0037,0.0004293198108636,156ee4ed,2026-04-15T21:48:32.084387
GraphSAGE,7,0.001,20000,17,0.00085,0.00020606764666,156ee4ed,2026-04-15T21:48:32.084387
MWPM,7,0.001,20000,0,0.0,0.0,156ee4ed,2026-04-15T21:48:32.084387
SimpleNN,7,0.002,20000,391,0.01955,0.0009789738888244,894ccedc,2026-04-15T21:48:38.471665
GraphSAGE,7,0.002,20000,94,0.0047,0.0004836274392546,894ccedc,2026-04-15T21:48:38.471665
MWPM,7,0.002,20000,6,0.0003,0.000122456114588,894ccedc,2026-04-15T21:48:38.471665
SimpleNN,7,0.003,20000,1019,0.05095,0.0015548970625092,8678fb9b,2026-04-15T21:48:45.759246
GraphSAGE,7,0.003,20000,290,0.0145,0.0008452736243371,8678fb9b,2026-04-15T21:48:45.759246
MWPM,7,0.003,20000,26,0.0013,0.000254785203652,8678fb9b,2026-04-15T21:48:45.759246
SimpleNN,7,0.004,20000,1742,0.0871,0.0019939106048165,4ab59c04,2026-04-15T21:48:52.591328
GraphSAGE,7,0.004,20000,606,0.0303,0.0012120624983885,4ab59c04,2026-04-15T21:48:52.591328
MWPM,7,0.004,20000,79,0.00395,0.0004435311432131,4ab59c04,2026-04-15T21:48:52.591328
SimpleNN,7,0.005,20000,2593,0.12965,0.0023752986917438,c3f4d006,2026-04-15T21:48:59.719489
GraphSAGE,7,0.005,20000,1193,0.05965,0.0016746921732067,c3f4d006,2026-04-15T21:48:59.719489
MWPM,7,0.005,20000,194,0.0097,0.0006930335489714,c3f4d006,2026-04-15T21:48:59.719489
SimpleNN,7,0.006,20000,3636,0.1818,0.0027271666615738,35ef03c7,2026-04-15T21:49:07.304824
GraphSAGE,7,0.006,20000,1870,0.0935,0.0020586130039422,35ef03c7,2026-04-15T21:49:07.304824
MWPM,7,0.006,20000,408,0.0204,0.000999595918359,35ef03c7,2026-04-15T21:49:07.304824
SimpleNN,7,0.007,20000,4574,0.2287,0.0029698174186303,4a470b94,2026-04-15T21:49:14.978354
GraphSAGE,7,0.007,20000,2695,0.13475,0.0024144609905732,4a470b94,2026-04-15T21:49:14.978354
MWPM,7,0.007,20000,647,0.03235,0.0012510690928162,4a470b94,2026-04-15T21:49:14.978354
SimpleNN,7,0.008,20000,5478,0.2739,0.0031534012589583,ddcfa3e0,2026-04-15T21:49:22.940840
GraphSAGE,7,0.008,20000,3543,0.17715,0.0026997025530602,ddcfa3e0,2026-04-15T21:49:22.940840
MWPM,7,0.008,20000,1039,0.05195,0.0015692545602928,ddcfa3e0,2026-04-15T21:49:22.940840
SimpleNN,9,0.001,20000,571,0.02855,0.0011776013226045563,bda2596d,2026-04-15T22:34:18.030177
GraphSAGE,9,0.001,20000,125,0.00625,0.000557267328128969,bda2596d,2026-04-15T22:34:18.030177
MWPM,9,0.001,20000,0,0.0,0.0,bda2596d,2026-04-15T22:34:18.030177
SimpleNN,9,0.002,20000,2055,0.10275,0.0021470029983677247,b68d4898,2026-04-15T22:34:24.545752
GraphSAGE,9,0.002,20000,421,0.02105,0.0010150590500064515,b68d4898,2026-04-15T22:34:24.545752
MWPM,9,0.002,20000,2,0.0001,7.070714249635605e-05,b68d4898,2026-04-15T22:34:24.545752
SimpleNN,9,0.003,20000,3794,0.1897,0.0027723086949327995,78af1628,2026-04-15T22:34:31.319009
GraphSAGE,9,0.003,20000,821,0.04105,0.0014029415080465757,78af1628,2026-04-15T22:34:31.319009
MWPM,9,0.003,20000,6,0.0003,0.00012245611458804333,78af1628,2026-04-15T22:34:31.319009
